step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,balance_change_orig,balance_change_dest,amount_to_balance_ratio,zero_balance_after,type_encoded,fraud_probability,uncertainty,ci_lower_90,ci_upper_90,recommendation,attention_reallocated
230,CASH_OUT,150411.67,C1585791274,0.0,0.0,C1136404550,1202205.61,1352617.28,0,0,0.0,150411.66999999993,150411.67,1,1,0.0,0.0,0.0,0.0,CLEAR,0
403,CASH_OUT,97949.54,C431546996,6006.0,0.0,C2035259819,1498550.2,1596499.74,0,0,-6006.0,97949.54000000004,16.305899783585815,1,1,0.0,0.0,0.0,0.0,CLEAR,0
180,PAYMENT,10273.82,C1433954727,0.0,0.0,M550148309,0.0,0.0,0,0,0.0,0.0,10273.82,1,3,0.0,0.0,0.0,0.0,CLEAR,0
9,CASH_OUT,29241.45,C1564266868,0.0,0.0,C1022269511,956466.81,5162119.97,0,0,0.0,4205653.16,29241.45,1,1,0.0,0.0,0.0,0.0,CLEAR,0
280,PAYMENT,31030.18,C10031927,0.0,0.0,M409106212,0.0,0.0,0,0,0.0,0.0,31030.18,1,3,0.0,0.0,0.0,0.0,CLEAR,0
177,PAYMENT,8676.73,C1030302114,69715.0,61038.27,M1085251449,0.0,0.0,0,0,-8676.730000000003,0.0,0.1244582305353147,0,3,0.0,0.0,0.0,0.0,CLEAR,0
183,CASH_OUT,126226.69,C915084236,41519.0,0.0,C2093817088,379487.11,505713.79,0,0,-41519.0,126226.68,3.040141859344894,1,1,0.0,0.0,0.0,0.0,CLEAR,0
204,PAYMENT,2968.38,C2002219693,0.0,0.0,M1995786336,0.0,0.0,0,0,0.0,0.0,2968.38,1,3,0.0,0.0,0.0,0.0,CLEAR,0
355,TRANSFER,450190.94,C630620233,0.0,0.0,C1052944997,1147546.63,1597737.57,0,0,0.0,450190.9400000002,450190.94,1,4,0.0,0.0,0.0,0.0,CLEAR,0
426,CASH_IN,220831.02,C2045022787,2107433.92,2328264.95,C1169122855,2040767.97,1819936.95,0,0,220831.03000000023,-220831.02,0.1047866379665,0,0,0.0,0.0,0.0,0.0,CLEAR,0
130,CASH_OUT,208339.0,C1220102903,0.0,0.0,C167373608,1261362.54,1469701.54,0,0,0.0,208339.0,208339.0,1,1,0.0,0.0,0.0,0.0,CLEAR,0
276,CASH_IN,201704.75,C1079230044,173220.74,374925.49,C962070213,279943.38,78238.63,0,0,201704.75,-201704.75,1.1644309195831886,0,0,0.0,0.0,0.0,0.0,CLEAR,0
133,CASH_OUT,38119.65,C551942267,73138.0,35018.35,C1455694666,0.0,46949.1,0,0,-38119.65,46949.1,0.521194574713901,0,1,0.0,0.0,0.0,0.0,CLEAR,0
187,TRANSFER,696088.37,C1357369682,211.0,0.0,C1001884646,0.0,696088.37,0,0,-211.0,696088.37,3283.43570754717,1,4,0.0,0.0,0.0,0.0,CLEAR,0
36,CASH_OUT,59326.06,C941854833,31728.0,0.0,C532695309,721142.62,780468.68,0,0,-31728.0,59326.060000000056,1.8697740237637488,1,1,0.0,0.0,0.0,0.0,CLEAR,0
183,CASH_IN,45701.22,C1481771896,31261.0,76962.22,C1768203865,1001679.74,955978.52,0,0,45701.22,-45701.21999999997,1.461877678971275,0,0,0.0,0.0,0.0,0.0,CLEAR,0
303,CASH_OUT,173168.24,C838263123,0.0,0.0,C1635608919,457912.82,631081.06,0,0,0.0,173168.24000000005,173168.24,1,1,0.0,0.0,0.0,0.0,CLEAR,0
186,CASH_OUT,548828.05,C1949035073,0.0,0.0,C983762944,3666261.68,4215089.73,0,0,0.0,548828.0500000003,548828.05,1,1,0.0,0.0,0.0,0.0,CLEAR,0
202,CASH_IN,178086.38,C230520418,631.0,178717.38,C267760644,0.0,0.0,0,0,178086.38,0.0,281.78224683544306,0,0,0.0,0.0,0.0,0.0,CLEAR,0
330,CASH_OUT,14454.41,C964366568,0.0,0.0,C1346717492,198208.07,212662.48,0,0,0.0,14454.410000000003,14454.41,1,1,0.0,0.0,0.0,0.0,CLEAR,0
226,PAYMENT,14471.28,C23544560,186948.23,172476.95,M1037319243,0.0,0.0,0,0,-14471.28,0.0,0.0774075400043102,0,3,0.0,0.0,0.0,0.0,CLEAR,0
226,PAYMENT,13368.05,C77603060,105.0,0.0,M817597334,0.0,0.0,0,0,-105.0,0.0,126.113679245283,1,3,0.0,0.0,0.0,0.0,CLEAR,0
231,CASH_OUT,493545.59,C1803901411,43608.0,0.0,C410506812,176279.47,669825.07,0,0,-43608.0,493545.6,11.317516796991448,1,1,0.0,0.0,0.0,0.0,CLEAR,0
359,PAYMENT,2474.24,C738854576,208903.0,206428.76,M1738736740,0.0,0.0,0,0,-2474.2399999999907,0.0,0.0118439091640179,0,3,0.0,0.0,0.0,0.0,CLEAR,0
233,CASH_OUT,258407.06,C1569474563,216916.0,0.0,C2045018722,0.0,258407.06,0,0,-216916.0,258407.06,1.1912715923602115,1,1,0.01,0.09949874371066196,0.0,0.025249999999999988,CLEAR,0
308,PAYMENT,23123.75,C1432832382,95947.88,72824.13,M780485179,0.0,0.0,0,0,-23123.75,0.0,0.2410007287213774,0,3,0.0,0.0,0.0,0.0,CLEAR,0
92,TRANSFER,21574.55,C2002083627,21574.55,0.0,C1024161943,0.0,0.0,1,0,-21574.55,0.0,0.9999536512394818,1,4,1.0,0.0,1.0,1.0,INVESTIGATE,1
525,PAYMENT,36191.63,C847090614,30784.0,0.0,M262768766,0.0,0.0,0,0,-30784.0,0.0,1.175625466948189,1,3,0.0,0.0,0.0,0.0,CLEAR,0
401,PAYMENT,12448.01,C1076941969,191.0,0.0,M157526082,0.0,0.0,0,0,-191.0,0.0,64.83338541666667,1,3,0.0,0.0,0.0,0.0,CLEAR,0
347,CASH_IN,345415.82,C2026300522,68713.0,414128.82,C1396425553,691608.17,346192.35,0,0,345415.82,-345415.82000000007,5.026862357016038,0,0,0.0,0.0,0.0,0.0,CLEAR,0
